Alabama	9	36.4	56.3	5
Alaska	3	40.7	46.9	10
Arizona	11	45.4	45.6	5
Arkansas	6	37.5	54.9	5
California	55	57.2	35.0	5
Colorado	9	47.8	41.7	5
Connecticut	7	52.2	39.2	5
D.C.	3	75.0	15.7	5
Delaware	3	52.7	38.6	8
Florida	29	48.3	45.3	5
Georgia	16	44.8	48.4	5
Hawaii	4	61.1	30.8	6
Idaho	4	32.3	55.3	6
Illinois	20	52.6	40.0	5
Indiana	11	41.4	49.3	5
Iowa	6	45.9	45.1	5
Kansas	6	40.4	49.6	5
Kentucky	8	38.4	54.0	5
Louisiana	8	39.5	52.6	5
Maine	3	49.3	40.2	7
Maine 2nd	1	43.8	45.5	10
Maryland	10	58.1	34.1	5
Massachusetts	11	55.0	35.5	5
Michigan	16	49.5	42.0	5
Minnesota	10	49.7	42.5	5
Mississippi	6	40.6	54.0	5
Missouri	10	43.0	48.6	6
Montana	3	39.7	48.6	8
Nebraska	3	36.9	53.3	7
Nebraska 1st	1	38.3	52.0	10
Nebraska 2nd	1	45.1	46.0	10
Nevada	6	47.5	44.1	5
New Hampshire	4	48.1	41.6	6
New Jersey	14	52.1	41.2	5
New Mexico	5	46.8	35.8	5
New York	29	55.7	36.8	5
North Carolina	15	47.8	45.6	5
North Dakota	3	35.9	52.6	8
Ohio	18	46.5	45.3	5
Oklahoma	7	35.2	56.7	6
Oregon	7	51.2	39.6	5
Pennsylvania	20	49.5	43.2	5
Rhode Island	4	51.9	38.9	8
South Carolina	9	42.5	50.7	5
South Dakota	3	39.6	49.9	8
Tennessee	11	37.8	54.0	5
Texas	38	42.5	49.3	5
Utah	6	34.7	51.0	7
Vermont	3	57.0	33.1	8
Virginia	13	48.9	41.7	5
Washington	12	50.7	38.8	6
West Virginia	5	35.2	56.1	6
Wisconsin	10	49.4	42.0	6
Wyoming	3	28.0	59.7	9
