Alabama	AL	2	9	35.8	58.2	5	0.67	PROJECTION	35.1	62.3	87
Alaska	AK	7	3	40.9	48.3	8	1.19	PROJECTION	37.6	53.0	73
Arizona	AZ	4	11	45.4	47.6	5	1.13	PROJECTION	45.4	49.6	73
Arkansas	AR	2	6	36.3	57.0	5	1.01	PROJECTION	33.8	60.6	93
California	CA	6	55	58.5	35.5	5	1.02	PROJECTION	59.9	35.1	40
Colorado	CO	5	9	47.7	43.6	5	1.16	PROJECTION	47.0	44.8	85
Connecticut	CT	1	7	52.8	40.2	5	1.06	PROJECTION	53.5	42.0	87
Delaware	DE	2	3	52.9	40.4	8	0.98	PROJECTION	42.1	53.2	99
District of Columbia	DC	2	3	82.8	12.4	5	0.45	PROJECTION	92.8	4.1	81
Florida	FL	2	29	48.1	47.5	5	1.05	PROJECTION	47.7	49.1	98
Georgia	GA	2	16	45.5	49.5	5	0.85	PROJECTION	45.0	51.9	87
Hawaii	HI	8	4	57.8	34.1	7	1.24	PROJECTION	64.5	28.2	58
Idaho	ID	5	4	35.9	55.5	6	1.06	PROJECTION	29.2	57.5	74
Illinois	IL	3	20	53.6	40.7	5	1.00	PROJECTION	55.6	39.2	96
Indiana	IN	3	11	40.4	52.0	5	0.99	PROJECTION	37.5	57.5	91
Iowa	IA	3	6	45.1	48.0	5	1.17	PROJECTION	42.1	52.0	96
Kansas	KS	3	6	39.0	51.6	5	1.07	PROJECTION	35.6	58.0	79
Kentucky	KY	2	8	37.9	56.1	5	1.01	PROJECTION	32.2	63.1	95
Louisiana	LA	2	8	39.4	55.5	5	0.79	PROJECTION	37.1	59.5	96
Maine	ME	1	3	49.5	42.0	7	1.27	PROJECTION	48.1	44.9	96
Maine 2nd	ME2	1	1	45.6	45.3	9	1.27	PROJECTION	44.0	46.5	92
Maryland	MD	2	10	59.8	34.2	5	0.90	PROJECTION	60.6	35.3	87
Massachusetts	MA	1	11	58.0	34.6	6	1.19	PROJECTION	60.5	33.8	98
Michigan	MI	3	16	48.4	44.2	5	1.03	PROJECTION	47.4	47.6	95
Minnesota	MN	3	10	48.9	43.1	7	1.01	PROJECTION	46.8	45.4	99
Mississippi	MS	2	6	41.4	54.5	5	0.63	PROJECTION	40.6	57.5	84
Missouri	MO	3	10	41.4	51.4	5	1.01	PROJECTION	36.9	58.2	90
Montana	MT	5	3	37.1	52.1	8	1.12	PROJECTION	35.7	57.1	67
Nebraska	NE	3	3	36.5	54.4	6	1.02	PROJECTION	34.1	60.3	90
Nebraska 1st	NE1	3	1	37.5	53.0	9	1.02	PROJECTION	35.1	58.9	90
Nebraska 2nd	NE2	3	1	45.5	47.3	9	1.05	PROJECTION	45.5	46.3	90
Nevada	NV	5	6	47.1	45.9	5	1.08	PROJECTION	47.9	45.5	98
New Hampshire	NH	1	4	47.5	43.9	6	1.28	PROJECTION	47.5	47.4	98
New Jersey	NJ	1	14	53.5	42.0	5	1.06	PROJECTION	54.3	42.4	91
New Mexico	NM	4	5	45.7	39.9	5	1.15	PROJECTION	48.4	39.9	98
New York	NY	1	29	56.8	37.8	5	0.90	PROJECTION	60.1	36.2	84
North Carolina	NC	2	15	48.2	47.5	5	0.92	PROJECTION	46.1	51.2	93
North Dakota	ND	3	3	34.1	57.2	8	1.17	PROJECTION	28.4	63.2	86
Ohio	OH	3	18	45.8	47.7	5	1.07	PROJECTION	43.4	52.2	93
Oklahoma	OK	4	7	33.2	59.1	6	0.93	PROJECTION	28.0	66.4	82
Oregon	OR	6	7	50.9	41.8	5	1.16	PROJECTION	52.4	41.0	77
Pennsylvania	PA	1	20	49.0	45.2	5	0.93	PROJECTION	47.6	48.9	97
Rhode Island	RI	1	4	54.0	39.6	7	1.29	PROJECTION	54.7	40.5	92
South Carolina	SC	2	9	43.8	50.8	5	0.72	PROJECTION	39.9	55.7	88
South Dakota	SD	3	3	37.5	53.0	7	1.10	PROJECTION	30.6	62.8	64
Tennessee	TN	2	11	41.1	53.1	5	1.01	PROJECTION	34.8	61.2	99
Texas	TX	4	38	42.5	51.0	5	1.00	PROJECTION	43.9	52.2	89
Utah	UT	5	6	29.4	40.0	7	1.01	PROJECTION	28.8	44.8	68
Vermont	VT	1	3	60.2	32.8	8	1.22	PROJECTION	61.1	32.7	83
Virginia	VA	2	13	49.8	44.3	5	0.95	PROJECTION	49.0	45.7	92
Washington	WA	6	12	53.2	39.9	6	1.13	PROJECTION	56.3	37.8	59
West Virginia	WV	2	5	33.3	59.8	6	1.15	PROJECTION	26.9	68.2	88
Wisconsin	WI	3	10	49.6	44.3	6	1.10	PROJECTION	46.9	48.9	95
Wyoming	WY	5	3	27.4	62.4	9	1.03	PROJECTION	22.9	69.5	93
